"widget","phase","tint_r","tint_g","tint_b","tint_a","request_id","tool_id","dry_run","http_status","mcp_status","applied_count","skipped_count","warning_count","error_count","prep_ms","json_ms","http_ms","parse_ms","total_ms","error"
"/Game/UI/Widget/WBP_MCPDummyPopup1","dry_run","0.931","0.961","0.507","0.122","dry-1","widget.apply_ops","True","200","Success","1","0","0","0","0.006","0.117","321.187","0.204","321.514",""
"/Game/UI/Widget/WBP_MCPDummyPopup1","apply","0.931","0.961","0.507","0.122","apply-1","widget.apply_ops","False","200","Success","1","0","0","0","0.007","0.109","327.113","0.166","327.394",""
"/Game/UI/Widget/WBP_MCPDummyPopup2","dry_run","0.922","0.482","0.93","0.348","dry-2","widget.apply_ops","True","200","Success","1","0","0","0","0.004","0.074","332.609","0.194","332.881",""
"/Game/UI/Widget/WBP_MCPDummyPopup2","apply","0.922","0.482","0.93","0.348","apply-2","widget.apply_ops","False","200","Success","1","0","0","0","0.006","0.118","332.61","0.161","332.894",""
"/Game/UI/Widget/WBP_MCPDummyPopup3","dry_run","0.65","0.656","0.557","0.308","dry-3","widget.apply_ops","True","200","Success","1","0","0","0","0.004","0.068","332.861","0.199","333.131",""
"/Game/UI/Widget/WBP_MCPDummyPopup3","apply","0.65","0.656","0.557","0.308","apply-3","widget.apply_ops","False","200","Success","1","0","0","0","0.007","0.115","332.454","0.223","332.798",""
"/Game/UI/Widget/WBP_MCPDummyPopup4","dry_run","0.998","0.334","0.591","0.169","dry-4","widget.apply_ops","True","200","Success","1","0","0","0","0.005","0.123","331.769","0.157","332.054",""
"/Game/UI/Widget/WBP_MCPDummyPopup4","apply","0.998","0.334","0.591","0.169","apply-4","widget.apply_ops","False","200","Success","1","0","0","0","0.005","0.085","334.15","0.144","334.384",""
"/Game/UI/Widget/WBP_MCPDummyPopup5","dry_run","0.648","0.584","0.673","0.241","dry-5","widget.apply_ops","True","200","Success","1","0","0","0","0.005","0.096","331.759","0.147","332.007",""
"/Game/UI/Widget/WBP_MCPDummyPopup5","apply","0.648","0.584","0.673","0.241","apply-5","widget.apply_ops","False","200","Success","1","0","0","0","0.006","0.111","333.397","0.196","333.709",""
